uniqueId,modifiedUnixTmp,tableName,roundNumber,length,dateStart,dateEnd,dateScheduled,status,player1,player2,country1,country2,score1,score2,event
hanoi-open-pool-championship-2024_1_1_1,1728367295,1,1,9,2024-10-08 11:29:12,2024-10-08 13:01:35,2024-10-08 11:30:00,3,Fedor Gorst,Hoang Phong Ngyuen,United States,Viet Nam,9,6,Hanoi Open Pool Championship 2024
hanoi-open-pool-championship-2024_1_1_2,1728368575,19,1,9,2024-10-08 11:33:31,2024-10-08 13:22:55,2024-10-08 11:30:00,3,The Hien Nguyen,Duc Thang Nguyen,Viet Nam,Viet Nam,4,9,Hanoi Open Pool Championship 2024
hanoi-open-pool-championship-2024_1_1_3,1728371623,24,1,9,2024-10-08 11:13:21,2024-10-08 14:13:43,2024-10-08 11:30:00,3,Antonios Kakaris,Jake Newlove,Greece,United Kingdom,9,7,Hanoi Open Pool Championship 2024
hanoi-open-pool-championship-2024_1_1_4,1728365978,21,1,9,2024-10-08 11:17:04,2024-10-08 12:39:38,2024-10-08 11:30:00,3,Ramazan Akdag,Tuan Kiet Dang,Turkey,Viet Nam,9,2,Hanoi Open Pool Championship 2024
hanoi-open-pool-championship-2024_1_1_5,1728369269,17,1,9,2024-10-08 12:26:18,2024-10-08 13:34:29,2024-10-08 11:30:00,3,Yu Lung Chang,Shi-fan Chao,Chinese Taipei,Chinese Taipei,9,4,Hanoi Open Pool Championship 2024
hanoi-open-pool-championship-2024_1_1_6,1728370921,18,1,9,2024-10-08 12:27:07,2024-10-08 14:02:01,2024-10-08 11:30:00,3,Hsin Ting Chen,Bobby Chandra Rinaldi,Chinese Taipei,Indonesia,9,3,Hanoi Open Pool Championship 2024
hanoi-open-pool-championship-2024_1_1_7,1728362658,14,1,9,2024-10-08 10:03:08,2024-10-08 11:44:18,2024-10-08 10:00:00,3,Desmond Goh,Tony Chau,Singapore,United States,9,2,Hanoi Open Pool Championship 2024
hanoi-open-pool-championship-2024_1_1_8,1728364070,11,1,9,2024-10-08 10:03:11,2024-10-08 12:07:50,2024-10-08 10:00:00,3,Billy Thorpe,Viet Hoang Chu,United States,Viet Nam,9,6,Hanoi Open Pool Championship 2024
hanoi-open-pool-championship-2024_1_1_9,1728359349,21,1,9,2024-10-08 10:03:13,2024-10-08 10:49:09,2024-10-08 10:00:00,3,Anton Raga,Van Binh Trinh,Philippines,Viet Nam,0,9,Hanoi Open Pool Championship 2024
hanoi-open-pool-championship-2024_1_1_10,1728361620,26,1,9,2024-10-08 10:03:14,2024-10-08 11:27:00,2024-10-08 10:00:00,3,Thanh Trung (Peri Team) Nguyen,Dang Khai Pham,Viet Nam,Viet Nam,9,6,Hanoi Open Pool Championship 2024
hanoi-open-pool-championship-2024_1_1_11,1728360001,19,1,9,2024-10-08 10:03:15,2024-10-08 10:55:13,2024-10-08 10:00:00,3,Andri Januarta,Joky Vongxay,Indonesia,Lao People's Democratic Republic,9,0,Hanoi Open Pool Championship 2024
hanoi-open-pool-championship-2024_1_1_12,1728362664,12,1,9,2024-10-08 10:03:16,2024-10-08 11:44:24,2024-10-08 10:00:00,3,Kledio Kaci,Jericco Jericco,Albania,Indonesia,9,5,Hanoi Open Pool Championship 2024
hanoi-open-pool-championship-2024_1_1_13,1728362695,13,1,9,2024-10-08 10:03:17,2024-10-08 11:44:55,2024-10-08 10:00:00,3,Ping Han Ko,William Ang,Chinese Taipei,Singapore,9,2,Hanoi Open Pool Championship 2024
hanoi-open-pool-championship-2024_1_1_14,1728362699,4,1,9,2024-10-08 10:03:21,2024-10-08 11:44:59,2024-10-08 10:00:00,3,Dean Shields,Hoang Lam Truong,United Kingdom,Viet Nam,9,5,Hanoi Open Pool Championship 2024
hanoi-open-pool-championship-2024_1_1_15,1728364438,5,1,9,2024-10-08 10:03:22,2024-10-08 12:13:58,2024-10-08 10:00:00,3,Adam Mscisz,Minh Tuoc Nguyen,Poland,Viet Nam,9,6,Hanoi Open Pool Championship 2024
hanoi-open-pool-championship-2024_1_1_16,1728362733,15,1,9,2024-10-08 10:03:23,2024-10-08 11:45:33,2024-10-08 10:00:00,3,Robbie Capito,Ngoc Tuan Le,Hong Kong,Viet Nam,9,6,Hanoi Open Pool Championship 2024
hanoi-open-pool-championship-2024_1_1_17,1728367001,2,1,9,2024-10-08 11:40:46,2024-10-08 12:56:41,2024-10-08 11:30:00,3,Johann Chua,Van Nam Luong,Philippines,Viet Nam,9,5,Hanoi Open Pool Championship 2024
hanoi-open-pool-championship-2024_1_1_18,1728368306,13,1,9,2024-10-08 11:58:46,2024-10-08 13:18:26,2024-10-08 11:30:00,3,Van Linh Ta,Van Huy Bui,Viet Nam,Viet Nam,9,7,Hanoi Open Pool Championship 2024
hanoi-open-pool-championship-2024_1_1_19,1728368582,14,1,9,2024-10-08 11:55:42,2024-10-08 13:23:02,2024-10-08 11:30:00,3,Nikolaos Malai,Quy Tran,Albania,Viet Nam,9,2,Hanoi Open Pool Championship 2024
hanoi-open-pool-championship-2024_1_1_20,1728370121,8,1,9,2024-10-08 11:35:00,2024-10-08 13:48:41,2024-10-08 11:30:00,3,Nam Pham Phuong,Ronel Nalaunan,Viet Nam,Philippines,9,5,Hanoi Open Pool Championship 2024
hanoi-open-pool-championship-2024_1_1_21,1728449711,26,1,9,2024-10-09 10:05:24,2024-10-09 11:55:11,2024-10-09 10:00:00,3,Georgi Georgiev,Yi Wei Chang,Bulgaria,Chinese Taipei,9,3,Hanoi Open Pool Championship 2024
